Wavelength(nm)	n	k
802	5,753	2,18536
803	5,75332	2,1806
804	5,75364	2,17587
805	5,75397	2,17117
806	5,75431	2,16648
807	5,75466	2,16182
808	5,75503	2,15719
809	5,7554	2,15257
810	5,75578	2,14798
811	5,75618	2,14341
812	5,75658	2,13886
813	5,757	2,13433
814	5,75742	2,12981
815	5,75786	2,12532
816	5,7583	2,12084
817	5,75876	2,11638
818	5,75922	2,11194
819	5,7597	2,10751
820	5,76019	2,10309
821	5,76068	2,09869
822	5,76119	2,09431
823	5,76171	2,08994
824	5,76223	2,08558
825	5,76277	2,08123
826	5,76331	2,07689
827	5,76387	2,07257
828	5,76443	2,06825
829	5,765	2,06395
830	5,76558	2,05965
831	5,76617	2,05537
832	5,76677	2,05109
833	5,76738	2,04682
834	5,76799	2,04256
835	5,76861	2,0383
836	5,76924	2,03405
837	5,76987	2,02981
838	5,77051	2,02557
839	5,77116	2,02134
840	5,77182	2,01711
841	5,77248	2,01289
842	5,77314	2,00867
843	5,77381	2,00446
844	5,77449	2,00024
845	5,77517	1,99603
846	5,77586	1,99183
847	5,77655	1,98762
848	5,77724	1,98342
849	5,77793	1,97922
850	5,77863	1,97502
851	5,77934	1,97082
852	5,78004	1,96662
853	5,78075	1,96242
854	5,78146	1,95822
855	5,78216	1,95402
856	5,78287	1,94982
857	5,78359	1,94562
858	5,7843	1,94142
859	5,78501	1,93722
860	5,78572	1,93302
861	5,78643	1,92881
862	5,78714	1,92461
863	5,78784	1,9204
864	5,78855	1,91619
865	5,78925	1,91198
866	5,78995	1,90776
867	5,79065	1,90355
868	5,79134	1,89933
869	5,79203	1,89511
870	5,79271	1,89089
871	5,79339	1,88666
872	5,79407	1,88243
873	5,79474	1,8782
874	5,79541	1,87397
875	5,79606	1,86973
876	5,79672	1,8655
877	5,79736	1,86126
878	5,798	1,85701
879	5,79863	1,85276
880	5,79926	1,84851
881	5,79987	1,84426
882	5,80048	1,84001
883	5,80108	1,83575
884	5,80167	1,83149
885	5,80225	1,82723
886	5,80282	1,82296
887	5,80338	1,8187
888	5,80393	1,81443
889	5,80448	1,81016
890	5,80501	1,80589
891	5,80552	1,80161
892	5,80603	1,79733
893	5,80653	1,79306
894	5,80701	1,78878
895	5,80748	1,78449
896	5,80794	1,78021
897	5,80839	1,77593
898	5,80882	1,77164
899	5,80924	1,76736
900	5,80965	1,76307
901	5,81005	1,75879
902	5,81043	1,7545
903	5,81079	1,75021
904	5,81114	1,74593
905	5,81148	1,74164
906	5,81181	1,73735
907	5,81211	1,73307
908	5,81241	1,72878
909	5,81268	1,7245
910	5,81295	1,72022
911	5,8132	1,71594
912	5,81343	1,71166
913	5,81364	1,70738
914	5,81384	1,70311
915	5,81403	1,69883
916	5,8142	1,69456
917	5,81435	1,6903
918	5,81448	1,68603
919	5,8146	1,68177
920	5,8147	1,67751
921	5,81479	1,67326
922	5,81486	1,66901
923	5,81491	1,66476
924	5,81494	1,66052
925	5,81496	1,65628
926	5,81496	1,65205
927	5,81495	1,64782
928	5,81491	1,6436
929	5,81486	1,63938
930	5,81479	1,63517
931	5,81471	1,63097
932	5,81461	1,62677
933	5,81449	1,62258
934	5,81435	1,61839
935	5,81419	1,61421
936	5,81402	1,61004
937	5,81383	1,60588
938	5,81362	1,60172
939	5,8134	1,59757
940	5,81316	1,59343
941	5,8129	1,58929
942	5,81262	1,58517
943	5,81233	1,58105
944	5,81201	1,57695
945	5,81169	1,57285
946	5,81134	1,56876
947	5,81098	1,56468
948	5,81059	1,56061
949	5,8102	1,55655
950	5,80978	1,5525
951	5,80935	1,54846
952	5,8089	1,54443
953	5,80843	1,54041
954	5,80795	1,53641
955	5,80745	1,53241
956	5,80694	1,52843
957	5,8064	1,52445
958	5,80585	1,52049
959	5,80529	1,51654
960	5,8047	1,51261
961	5,80411	1,50868
962	5,80349	1,50477
963	5,80286	1,50087
964	5,80221	1,49698
965	5,80155	1,49311
966	5,80087	1,48925
967	5,80018	1,4854
968	5,79947	1,48157
969	5,79874	1,47775
970	5,798	1,47394
971	5,79724	1,47015
972	5,79647	1,46637
973	5,79569	1,46261
974	5,79488	1,45886
975	5,79407	1,45513
976	5,79324	1,45141
977	5,79239	1,4477
978	5,79153	1,44401
979	5,79066	1,44034
980	5,78977	1,43668
981	5,78887	1,43304
982	5,78795	1,42941
983	5,78702	1,4258
984	5,78608	1,42221
985	5,78512	1,41863
986	5,78415	1,41506
987	5,78317	1,41152
988	5,78217	1,40799
989	5,78116	1,40448
990	5,78014	1,40098
991	5,77911	1,3975
992	5,77806	1,39404
993	5,777	1,39059
994	5,77593	1,38716
995	5,77485	1,38375
996	5,77375	1,38036
997	5,77265	1,37699
998	5,77153	1,37363
999	5,7704	1,37029
1000	5,76926	1,36697
1002,5	5,76636	1,35874
1005	5,76339	1,35063
1007,5	5,76036	1,34264
1010	5,75727	1,33476
1012,5	5,75412	1,327
1015	5,75091	1,31936
1017,5	5,74765	1,31185
1020	5,74434	1,30446
1022,5	5,74098	1,29719
1025	5,73758	1,29005
1027,5	5,73413	1,28303
1030	5,73065	1,27614
1032,5	5,72713	1,26938
1035	5,72357	1,26275
1037,5	5,71999	1,25626
1040	5,71637	1,24989
1042,5	5,71274	1,24366
1045	5,70908	1,23756
1047,5	5,70541	1,2316
1050	5,70172	1,22577
1052,5	5,69803	1,22008
1055	5,69432	1,21452
1057,5	5,69062	1,20911
1060	5,68691	1,20383
1062,5	5,68321	1,19869
1065	5,67953	1,19369
1067,5	5,67585	1,18883
1070	5,67219	1,18411
1072,5	5,66856	1,17953
1075	5,66495	1,17508
1077,5	5,66138	1,17078
1080	5,65784	1,16662
1082,5	5,65435	1,16259
1085	5,6509	1,15871
1087,5	5,64751	1,15496
1090	5,64417	1,15134
1092,5	5,6409	1,14786
1095	5,6377	1,14451
1097,5	5,63458	1,14129
1100	5,63153	1,1382
1102,5	5,62858	1,13523
1105	5,62573	1,13239
1107,5	5,62297	1,12966
1110	5,62032	1,12704
1112,5	5,61779	1,12454
1115	5,61537	1,12213
1117,5	5,61308	1,11983
1120	5,61093	1,11761
1122,5	5,60891	1,11548
1125	5,60704	1,11343
1127,5	5,60532	1,11145
1130	5,60375	1,10952
1132,5	5,60234	1,10765
1135	5,60109	1,10582
1137,5	5,60001	1,10402
1140	5,5991	1,10223
1142,5	5,59836	1,10046
1145	5,59779	1,09869
1147,5	5,5974	1,09689
1150	5,59717	1,09507
1152,5	5,59712	1,09321
1155	5,59723	1,0913
1157,5	5,59751	1,08932
1160	5,59795	1,08726
1162,5	5,59854	1,0851
1165	5,59928	1,08285
1167,5	5,60015	1,08048
1170	5,60115	1,07798
1172,5	5,60227	1,07534
1175	5,6035	1,07256
1177,5	5,60482	1,06963
1180	5,60622	1,06653
1182,5	5,60769	1,06326
1185	5,60922	1,05982
1187,5	5,61078	1,0562
1190	5,61236	1,0524
1192,5	5,61395	1,04842
1195	5,61554	1,04426
1197,5	5,6171	1,03992
1200	5,61863	1,0354
1202,5	5,6201	1,03071
1205	5,62151	1,02586
1207,5	5,62285	1,02084
1210	5,6241	1,01568
1212,5	5,62524	1,01037
1215	5,62628	1,00492
1217,5	5,6272	0,99935
1220	5,62799	0,99366
1222,5	5,62865	0,98788
1225	5,62917	0,98199
1227,5	5,62954	0,97603
1230	5,62976	0,96999
1232,5	5,62984	0,9639
1235	5,62976	0,95776
1237,5	5,62952	0,95158
1240	5,62914	0,94537
1242,5	5,62859	0,93914
1245	5,6279	0,93291
1247,5	5,62706	0,92668
1250	5,62607	0,92046
1252,5	5,62493	0,91426
1255	5,62366	0,90809
1257,5	5,62224	0,90195
1260	5,6207	0,89585
1262,5	5,61903	0,88979
1265	5,61723	0,88379
1267,5	5,61532	0,87785
1270	5,61329	0,87197
1272,5	5,61115	0,86615
